loan_id,age,gender,annual_income,loan_amount,term_months,purpose,credit_score,employment_length,home_ownership,previous_defaults,dti,installment,default
1,59,Female,66723.0,4001.0,12,debt_consolidation,720.0,<1,OTHER,0,25.09,333.42,1
2,72,Female,72985.0,21929.0,24,car,721.0,1-3,OWN,0,12.3,913.71,0
3,49,Female,20816.0,8798.0,36,debt_consolidation,648.0,3-5,MORTGAGE,0,19.83,244.39,0
4,35,Male,50638.0,17188.0,12,car,813.0,<1,MORTGAGE,0,16.86,1432.33,0
5,63,Male,50966.0,19858.0,36,debt_consolidation,698.0,1-3,MORTGAGE,0,33.18,551.61,0
6,28,Female,15828.0,4418.0,24,car,697.0,<1,MORTGAGE,0,13.9,184.08,0
7,41,Male,37016.0,8281.0,60,debt_consolidation,669.0,10+,MORTGAGE,0,29.73,138.02,1
8,59,Male,86204.0,20993.0,12,other,552.0,10+,OTHER,0,20.56,1749.42,0
9,39,Male,85817.0,12659.0,60,small_business,634.0,5-10,OWN,0,20.65,210.98,0
10,43,Male,11124.0,8577.0,60,education,625.0,5-10,MORTGAGE,0,19.86,142.95,1
11,31,Female,74164.0,16753.0,24,debt_consolidation,726.0,5-10,RENT,0,33.68,698.04,1
12,31,Female,15891.0,5285.0,24,debt_consolidation,643.0,1-3,RENT,0,32.68,220.21,1
13,44,Male,47956.0,4356.0,60,car,701.0,5-10,RENT,0,18.52,72.6,0
14,73,Male,57080.0,1000.0,36,other,567.0,3-5,RENT,0,17.17,27.78,1
15,56,Female,82583.0,18238.0,24,debt_consolidation,776.0,3-5,OWN,0,6.29,759.92,0
16,60,Male,54762.0,15288.0,12,debt_consolidation,730.0,10+,OWN,2,17.22,1274.0,0
17,44,Male,29584.0,19865.0,24,small_business,678.0,10+,RENT,0,33.13,827.71,1
18,23,Female,24482.0,25997.0,36,home_improvement,646.0,3-5,MORTGAGE,0,27.78,722.14,1
19,42,Male,65040.0,12828.0,36,car,738.0,10+,RENT,0,20.44,356.33,1
20,73,Female,40986.0,14374.0,60,car,644.0,1-3,MORTGAGE,0,5.45,239.57,0
21,22,Male,47739.0,18089.0,60,home_improvement,643.0,10+,RENT,1,15.79,301.48,1
22,44,Female,89114.0,9869.0,24,small_business,664.0,10+,OTHER,0,8.72,411.21,0
23,64,Male,73047.0,1881.0,12,other,782.0,5-10,RENT,0,12.65,156.75,0
24,50,Female,107607.0,4636.0,60,other,636.0,3-5,RENT,0,13.93,77.27,0
25,58,Male,29454.0,14642.0,36,debt_consolidation,728.0,10+,MORTGAGE,0,22.71,406.72,0
26,22,Male,38724.0,23998.0,60,car,626.0,1-3,RENT,0,26.73,399.97,1
27,41,Female,65511.0,29106.0,60,debt_consolidation,532.0,1-3,RENT,0,21.87,485.1,0
28,53,Male,114564.0,12438.0,24,other,708.0,5-10,RENT,0,21.45,518.25,0
29,32,Male,36154.0,16511.0,36,home_improvement,619.0,1-3,RENT,0,29.23,458.64,0
30,42,Male,61152.0,31837.0,24,other,659.0,3-5,OTHER,1,13.17,1326.54,0
31,64,Female,99637.0,19651.0,36,debt_consolidation,739.0,5-10,MORTGAGE,0,10.83,545.86,1
32,45,Male,61498.0,16235.0,60,debt_consolidation,616.0,1-3,RENT,0,24.62,270.58,1
33,69,Male,90600.0,16891.0,36,other,651.0,3-5,RENT,0,21.76,469.19,1
34,47,Female,118725.0,20238.0,24,other,725.0,3-5,RENT,0,19.66,843.25,0
35,62,Male,68854.0,4017.0,60,small_business,648.0,1-3,MORTGAGE,0,9.03,66.95,1
36,48,Female,73754.0,21845.0,12,debt_consolidation,686.0,5-10,RENT,0,27.66,1820.42,1
37,36,Female,82288.0,18952.0,12,debt_consolidation,670.0,5-10,MORTGAGE,0,23.45,1579.33,0
38,35,Female,32869.0,24794.0,36,small_business,670.0,5-10,MORTGAGE,0,31.54,688.72,0
39,67,Female,15553.0,19447.0,60,car,665.0,10+,RENT,0,13.02,324.12,0
40,71,Female,64754.0,24191.0,36,other,711.0,10+,MORTGAGE,0,24.67,671.97,1
41,64,Male,41246.0,6694.0,24,debt_consolidation,546.0,5-10,RENT,0,16.09,278.92,1
42,72,Female,91583.0,9632.0,36,debt_consolidation,661.0,5-10,RENT,0,8.42,267.56,0
43,23,Male,69429.0,16374.0,12,small_business,625.0,10+,RENT,0,11.74,1364.5,1
44,57,Male,91074.0,8239.0,24,debt_consolidation,728.0,1-3,RENT,0,19.96,343.29,1
45,71,Female,23951.0,22699.0,36,home_improvement,763.0,10+,RENT,0,12.14,630.53,1
46,27,Male,90046.0,2260.0,24,home_improvement,679.0,<1,MORTGAGE,0,13.83,94.17,1
47,41,Female,8000.0,13564.0,24,car,668.0,<1,RENT,0,24.02,565.17,1
48,29,Male,26412.0,9902.0,12,debt_consolidation,715.0,3-5,OWN,0,25.96,825.17,1
49,59,Female,78967.0,8318.0,24,other,689.0,5-10,MORTGAGE,1,12.76,346.58,0
50,38,Male,44923.0,2661.0,60,home_improvement,669.0,10+,RENT,0,35.78,44.35,0
51,24,Female,47811.0,15376.0,60,debt_consolidation,697.0,3-5,MORTGAGE,0,25.46,256.27,0
52,45,Female,63217.0,14252.0,60,debt_consolidation,656.0,5-10,OWN,0,0.0,237.53,0
53,34,Female,102659.0,32139.0,12,other,730.0,3-5,OTHER,0,20.95,2678.25,0
54,70,Male,8000.0,37391.0,60,car,803.0,1-3,RENT,0,27.77,623.18,1
55,29,Male,97461.0,5388.0,36,home_improvement,668.0,10+,RENT,0,11.17,149.67,0
56,46,Male,99224.0,1000.0,60,other,710.0,5-10,MORTGAGE,0,25.05,16.67,0
57,73,Female,44869.0,4194.0,60,small_business,542.0,5-10,OWN,1,36.19,69.9,0
58,22,Female,39153.0,14443.0,36,debt_consolidation,558.0,5-10,MORTGAGE,0,14.9,401.19,0
59,40,Male,56461.0,25127.0,12,debt_consolidation,695.0,1-3,RENT,0,19.67,2093.92,0
60,48,Female,38515.0,10667.0,36,other,654.0,10+,RENT,0,2.17,296.31,0
61,67,Female,70343.0,20205.0,24,car,629.0,<1,RENT,0,21.32,841.88,0
62,27,Male,74250.0,7809.0,24,home_improvement,711.0,5-10,MORTGAGE,0,27.93,325.38,0
63,64,Female,13383.0,10616.0,24,other,660.0,1-3,RENT,2,29.26,442.33,0
64,28,Female,32389.0,16501.0,36,debt_consolidation,711.0,3-5,RENT,0,1.69,458.36,0
65,67,Male,24446.0,14900.0,12,small_business,689.0,1-3,RENT,0,28.7,1241.67,0
66,55,Male,66441.0,14675.0,60,car,732.0,10+,MORTGAGE,0,22.04,244.58,0
67,34,Male,86170.0,5264.0,24,car,671.0,3-5,RENT,0,23.07,219.33,0
68,37,Female,27797.0,26033.0,36,car,679.0,5-10,MORTGAGE,1,24.38,723.14,0
69,56,Female,85958.0,25965.0,12,debt_consolidation,660.0,5-10,MORTGAGE,0,18.31,2163.75,0
70,70,Female,32256.0,26116.0,60,education,647.0,1-3,MORTGAGE,0,15.35,435.27,0
71,60,Male,81559.0,8905.0,36,other,711.0,5-10,MORTGAGE,0,32.97,247.36,0
72,24,Male,51488.0,16075.0,24,home_improvement,614.0,10+,MORTGAGE,0,4.54,669.79,0
73,22,Male,46749.0,10276.0,60,car,754.0,3-5,RENT,0,30.75,171.27,1
74,26,Male,94274.0,6228.0,12,debt_consolidation,611.0,1-3,MORTGAGE,0,29.58,519.0,0
75,74,Female,113631.0,17565.0,60,education,657.0,5-10,OTHER,0,12.29,292.75,1
76,62,Female,8000.0,1000.0,36,small_business,651.0,5-10,MORTGAGE,0,1.86,27.78,0
77,24,Female,77983.0,22622.0,12,small_business,720.0,5-10,MORTGAGE,0,17.8,1885.17,1
78,74,Female,65320.0,4536.0,36,small_business,766.0,3-5,OWN,0,19.01,126.0,0
79,49,Male,79736.0,12183.0,24,debt_consolidation,702.0,1-3,RENT,1,8.58,507.62,0
80,38,Male,16845.0,1000.0,36,debt_consolidation,788.0,3-5,MORTGAGE,0,0.0,27.78,0
81,46,Male,27470.0,31270.0,60,debt_consolidation,631.0,5-10,MORTGAGE,0,13.64,521.17,1
82,64,Female,39857.0,20924.0,60,car,661.0,1-3,OWN,1,4.02,348.73,1
83,54,Female,66392.0,15773.0,60,debt_consolidation,583.0,10+,OWN,0,15.15,262.88,0
84,30,Male,38020.0,8807.0,36,debt_consolidation,602.0,3-5,RENT,0,16.14,244.64,1
85,56,Male,50309.0,5408.0,36,debt_consolidation,745.0,5-10,RENT,0,20.96,150.22,0
86,34,Male,84916.0,13197.0,60,debt_consolidation,666.0,10+,RENT,0,16.74,219.95,0
87,51,Male,121464.0,17720.0,60,debt_consolidation,647.0,3-5,RENT,0,26.57,295.33,0
88,68,Male,82776.0,12931.0,60,other,618.0,3-5,RENT,0,7.52,215.52,1
89,35,Male,85782.0,19778.0,60,small_business,728.0,1-3,MORTGAGE,1,21.09,329.63,0
90,28,Male,54544.0,31702.0,60,debt_consolidation,651.0,3-5,RENT,0,16.73,528.37,0
91,34,Female,33282.0,5342.0,24,home_improvement,599.0,3-5,MORTGAGE,0,27.75,222.58,0
92,43,Female,50221.0,17128.0,24,car,682.0,1-3,RENT,0,15.39,713.67,0
93,60,Male,58263.0,30671.0,36,other,716.0,<1,MORTGAGE,0,25.37,851.97,1
94,41,Male,25196.0,12203.0,60,debt_consolidation,669.0,1-3,MORTGAGE,0,19.36,203.38,1
95,36,Male,84454.0,13749.0,12,debt_consolidation,643.0,5-10,MORTGAGE,1,15.52,1145.75,1
96,65,Male,105584.0,19151.0,60,car,684.0,10+,RENT,0,7.86,319.18,1
97,38,Male,63673.0,21085.0,60,other,584.0,1-3,RENT,0,9.92,351.42,0
98,67,Male,92522.0,24448.0,60,debt_consolidation,726.0,5-10,MORTGAGE,0,16.45,407.47,0
99,73,Female,96253.0,15984.0,36,debt_consolidation,706.0,3-5,RENT,0,16.74,444.0,0
100,44,Female,28960.0,7846.0,24,debt_consolidation,751.0,3-5,RENT,0,22.07,326.92,1
101,46,Male,8000.0,20047.0,24,home_improvement,621.0,3-5,RENT,0,27.85,835.29,0
102,45,Female,45030.0,6298.0,60,debt_consolidation,570.0,10+,RENT,0,31.17,104.97,1
103,65,Male,62876.0,17988.0,60,other,576.0,5-10,MORTGAGE,0,21.3,299.8,1
104,61,Male,24116.0,15695.0,60,other,610.0,5-10,MORTGAGE,1,5.99,261.58,0
105,49,Female,102667.0,15475.0,60,debt_consolidation,596.0,1-3,RENT,0,11.05,257.92,0
106,35,Female,118464.0,14259.0,12,education,717.0,1-3,MORTGAGE,0,10.09,1188.25,0
107,65,Female,65376.0,24017.0,36,debt_consolidation,646.0,3-5,OWN,0,3.23,667.14,0
108,21,Female,30546.0,20562.0,24,car,663.0,5-10,MORTGAGE,0,35.28,856.75,0
109,45,Female,74589.0,21251.0,60,education,638.0,1-3,OWN,0,2.98,354.18,0
110,27,Female,30452.0,10827.0,12,home_improvement,668.0,3-5,MORTGAGE,0,7.2,902.25,0
111,29,Female,94293.0,1000.0,24,debt_consolidation,726.0,10+,OWN,1,11.42,41.67,0
112,44,Male,53057.0,11426.0,60,debt_consolidation,788.0,3-5,RENT,0,25.65,190.43,0
113,21,Female,81818.0,18922.0,60,home_improvement,743.0,3-5,RENT,1,23.92,315.37,0
114,64,Female,87057.0,15292.0,60,education,682.0,5-10,RENT,0,4.03,254.87,0
115,28,Female,76139.0,11105.0,36,small_business,659.0,5-10,RENT,0,9.86,308.47,0
